# t	s_num	e_num	p_num
4.48 1.00543e-64 225.315 225.315
4.49 4.64445e-65 228.281 228.281
4.5 2.23696e-65 231.286 231.286
4.51 1.12481e-65 234.331 234.331
4.52 5.91174e-66 237.416 237.416
4.53 3.25142e-66 240.541 240.541
4.54 1.87338e-66 243.708 243.708
4.55 1.13193e-66 246.916 246.916
4.56 7.17922e-67 250.166 250.166
4.57 4.78404e-67 253.46 253.46
4.58 3.35232e-67 256.796 256.796
4.59 2.47215e-67 260.177 260.177
4.6 1.92003e-67 263.601 263.601
4.61 1.57161e-67 267.072 267.072
4.62 1.35666e-67 270.587 270.587
4.63 1.23577e-67 274.149 274.149
4.64 1.18848e-67 277.758 277.758
4.65 1.2074e-67 281.414 281.414
4.66 1.29634e-67 285.119 285.119
4.67 1.47158e-67 288.872 288.872
4.68 1.76692e-67 292.675 292.675
4.69 2.24479e-67 296.528 296.528
4.7 3.01856e-67 300.431 300.431
4.71 4.29756e-67 304.386 304.386
4.72 6.47977e-67 308.393 308.393
4.73 1.03495e-66 312.452 312.452
4.74 1.75145e-66 316.565 316.565
4.75 3.14111e-66 320.733 320.733
4.76 5.97106e-66 324.955 324.955
4.77 1.2033e-65 329.232 329.232
4.78 2.57105e-65 333.566 333.566
4.79 5.8253e-65 337.957 337.957
4.8 1.39973e-64 342.406 342.406
4.81 3.56725e-64 346.913 346.913
4.82 9.64318e-64 351.48 351.48
4.83 2.76527e-63 356.107 356.107
4.84 8.41224e-63 360.794 360.794
4.85 2.71498e-62 365.544 365.544
4.86 9.29653e-62 370.356 370.356
4.87 3.37746e-61 375.231 375.231
4.88 1.30193e-60 380.17 380.17
4.89 5.325e-60 385.175 385.175
4.9 2.31097e-59 390.245 390.245
4.91 1.06418e-58 395.382 395.382
4.92 5.19979e-58 400.587 400.587
4.93 2.69589e-57 405.86 405.86
4.94 1.48308e-56 411.202 411.202
4.95 8.65698e-56 416.615 416.615
4.96 5.36172e-55 422.099 422.099
4.97 3.52345e-54 427.656 427.656
4.98 2.4567e-53 433.285 433.285
4.99 1.81738e-52 438.989 438.989
5 1.42639e-51 444.768 444.768
